data_date,avg_rainfall,grid_count
2017-05-23,0.00,43
2017-05-24,17.35,43
2017-05-25,2.72,43
2017-05-26,0.00,43
2017-05-27,0.55,43
2017-05-28,0.00,43
2017-05-29,0.00,43
2017-05-30,0.00,43
2017-05-31,0.37,43
2017-06-01,0.00,43
2017-06-02,47.60,43
2017-06-03,67.07,43
2017-06-04,27.27,43
2017-06-05,3.54,43
2017-06-06,0.00,43
2017-06-07,0.00,43
2017-06-08,0.00,43
2017-06-09,0.00,43
2017-06-10,0.00,43
2017-06-11,12.18,43
2017-06-12,5.63,43
2017-06-13,0.00,43
2017-06-14,133.58,43
2017-06-15,71.16,43
2017-06-16,98.70,43
2017-06-17,78.06,43
2017-06-18,40.71,43
2017-06-19,8.93,43
2017-06-20,0.00,43
2017-06-21,0.00,43
2017-06-22,0.00,43
2017-06-23,0.00,43
2017-06-24,0.00,43
2017-06-25,0.00,43
2017-06-26,0.00,43
2017-06-27,0.00,43
2017-06-28,0.00,43
2017-06-29,0.00,43
2017-06-30,5.19,43
2017-07-01,22.25,43
2017-07-02,6.01,43
2017-07-03,0.00,43
2017-07-04,6.39,43
2017-07-05,0.00,43
2017-07-06,0.00,43
2017-07-07,9.55,43
2017-07-08,4.76,43
2017-07-09,0.00,43
2017-07-10,0.00,43
2017-07-11,0.00,43
2017-07-12,0.00,43
2017-07-13,0.00,43
2017-07-14,0.69,43
2017-07-15,0.00,43
2017-07-16,0.00,43
2017-07-17,0.00,43
2017-07-18,0.00,43
2017-07-19,0.00,43
2017-07-20,0.00,43
2017-07-21,0.00,43
2017-07-22,0.00,43
2017-07-23,0.00,43
2017-07-24,0.00,43
2017-07-25,0.00,43
2017-07-26,0.00,43
2017-07-27,0.00,43
2017-07-28,0.00,43
2017-07-29,22.07,43
2017-07-30,6.24,43
2017-07-31,13.91,43
2017-08-01,0.00,43
2017-08-02,9.34,43
2017-08-03,0.03,43
2017-08-04,0.00,43
2017-08-05,0.00,43
2017-08-06,0.00,43
2017-08-07,0.00,43
2017-08-08,0.00,43
2017-08-09,0.00,43
2017-08-10,0.00,43
2017-08-11,0.00,43
2017-08-12,0.00,43
2017-08-13,0.00,43
2017-08-14,0.00,43
2017-08-15,0.00,43
2017-08-16,0.00,43
2017-08-17,0.00,43
2017-08-18,0.00,43
2017-08-19,0.00,43
2017-08-20,0.00,43
2017-08-21,0.00,43
2017-08-22,0.00,43
2017-08-23,9.79,43
2017-08-24,9.77,43
2017-08-25,0.00,43
2017-08-26,0.00,43
2017-08-27,1.70,43
2017-08-28,0.00,43
2017-08-29,0.00,43
2017-08-30,0.00,43
2017-08-31,0.00,43
